a	b	c	d	e	f	g	h	i	j	k
1	column b1	cor1	12345.67	0	1234.56	123.45	1234.5600	1	charc1	1
NULL	column b2	cor2	1.797693231e+108	-10	0	9.98	999999.9999	NULL	charc2	2
55555555000000	column b3	cor3	NULL	1	3.402	100.12	0.0000	7483645	charc3	3
72036854775806	column b4	cor4	0	NULL	1234.56	NULL	1234.5600	0	charc4	765
72036854775804	column b5	cor5	1.797693231e+108	127	0	123.45	NULL	7483647	charc6	NULL
0	column b6	cor6	12345.67	12	NULL	9.97	999999.9999	1000	char6c	767
a	b	c	d	e	f	g	h	i	j	k
12346	column b1	cor1	12345.67	127	1234.56	12345.67	12345.6700	12346	charc1	12346
9223372036854775807	column b2	cor2	1.797693231e+108	127	0	999999.99	999999.9999	2147483647	charc2	32767
NULL	column b3	cor3	NULL	NULL	3.402	NULL	NULL	NULL	charc3	NULL
0	column b4	cor4	0	0	1234.56	0.00	0.0000	0	charc4	0
9223372036854775807	column b5	cor5	1.797693231e+108	127	0	999999.99	999999.9999	2147483647	charc6	32767
12346	column b6	cor6	12345.67	127	NULL	12345.67	12345.6700	12346	char6c	12346
a	b	c	d	e	f	g	h	i	j	k
1235	column b1	cor1	12345.67	127	1234.56	1234.56	1234.5600	1235	charc1	1235
0	column b2	cor2	1.797693231e+108	0	0	0.00	0.0000	0	charc2	0
3	column b3	cor3	NULL	3	3.402	3.40	3.4020	3	charc3	3
1235	column b4	cor4	0	127	1234.56	1234.56	1234.5600	1235	charc4	1235
0	column b5	cor5	1.797693231e+108	0	0	0.00	0.0000	0	charc6	0
NULL	column b6	cor6	12345.67	NULL	NULL	NULL	NULL	NULL	char6c	NULL
a	b	c	d	e	f	g	h	i	j	k
1	column b1	cor1	12345.67	0	1234.56	1234.56	1234.5600	1	charc1	1
NULL	column b2	cor2	1.797693231e+108	-10	0	999999.99	999999.9999	NULL	charc2	2
55555555000000	column b3	cor3	NULL	1	3.402	0.00	0.0000	7483645	charc3	3
72036854775806	column b4	cor4	0	NULL	1234.56	1234.56	1234.5600	0	charc4	765
72036854775804	column b5	cor5	1.797693231e+108	127	0	NULL	NULL	7483647	charc6	NULL
0	column b6	cor6	12345.67	12	NULL	999999.99	999999.9999	1000	char6c	767
a	b	c	d	e	f	g	h	i	j	k
1	column b1	cor1	12345.67	127	1234.56	123.45	1234.5600	1	charc1	1
NULL	column b2	cor2	1.797693231e+108	127	0	9.98	999999.9999	NULL	charc2	2
55555555000000	column b3	cor3	NULL	0	3.402	100.12	0.0000	7483645	charc3	3
72036854775806	column b4	cor4	0	127	1234.56	NULL	1234.5600	0	charc4	765
72036854775804	column b5	cor5	1.797693231e+108	NULL	0	123.45	NULL	7483647	charc6	NULL
0	column b6	cor6	12345.67	127	NULL	9.97	999999.9999	1000	char6c	767
a	b	c	d	e	f	g	h	i	j	k
1	column b1	cor1	12345.67	0	1234.56	123.45	1234.5600	1	cor1	1
NULL	column b2	cor2	1.797693231e+108	-10	0	9.98	999999.9999	NULL	cor2	2
55555555000000	column b3	cor3	NULL	1	3.402	100.12	0.0000	7483645	cor3	3
72036854775806	column b4	cor4	0	NULL	1234.56	NULL	1234.5600	0	cor4	765
72036854775804	column b5	cor5	1.797693231e+108	127	0	123.45	NULL	7483647	cor5	NULL
0	column b6	cor6	12345.67	12	NULL	9.97	999999.9999	1000	cor6	767
a	b	c	d	e	f	g	h	i	j	k
1	column b1	cor1	12345.67	0	12345.7	123.45	1234.5600	1	charc1	1
NULL	column b2	cor2	1.797693231e+108	-10	3.40282e+38	9.98	999999.9999	NULL	charc2	2
55555555000000	column b3	cor3	NULL	1	NULL	100.12	0.0000	7483645	charc3	3
72036854775806	column b4	cor4	0	NULL	0	NULL	1234.5600	0	charc4	765
72036854775804	column b5	cor5	1.797693231e+108	127	3.40282e+38	123.45	NULL	7483647	charc6	NULL
0	column b6	cor6	12345.67	12	12345.7	9.97	999999.9999	1000	char6c	767
a	b	c	d	e	f	g	h	i	j	k
1	1	cor1	1	1	1	1.00	1.0000	1	charc1	1
NULL	NULL	cor2	NULL	NULL	NULL	NULL	NULL	NULL	charc2	NULL
55555555000000	55555555000000	cor3	55555555000000	127	5.55556e+13	999999.99	999999.9999	2147483647	charc3	32767
72036854775806	72036854775806	cor4	72036854775806	127	7.20369e+13	999999.99	999999.9999	2147483647	charc4	32767
72036854775804	72036854775804	cor5	72036854775804	127	7.20369e+13	999999.99	999999.9999	2147483647	charc6	32767
0	0	cor6	0	0	0	0.00	0.0000	0	char6c	0
a	b	c	d	e	f	g	h	i	j	k
1	column b1	cor1	12345.67	0	1234.56	123.45	1234.5600	1	charc1	1
NULL	column b2	cor2	1.797693231e+108	-10	0	9.98	999999.9999	NULL	charc2	2
55555555000000	column b3	cor3	NULL	1	3.402	100.12	0.0000	7483645	charc3	3
72036854775806	column b4	cor4	0	NULL	1234.56	NULL	1234.5600	0	charc4	765
72036854775804	column b5	cor5	1.797693231e+108	127	0	123.45	NULL	7483647	charc6	NULL
0	column b6	cor6	12345.67	12	NULL	9.97	999999.9999	1000	char6c	767
