p_category	sum(lo_ordtotalprice)	count(*)
MFGR#11	3697309918339.00	244410
MFGR#12	3580482935512.00	236828
MFGR#13	3666595105647.00	242445
MFGR#14	3644710720672.00	240460
MFGR#15	3600941745716.00	238053
MFGR#21	3583139237384.00	236224
MFGR#22	3631317911429.00	239307
MFGR#23	3691298202047.00	244396
MFGR#24	3632467428751.00	240003
MFGR#25	3586043336433.00	237589
MFGR#31	3615162539998.00	239416
MFGR#32	3666553055166.00	241609
MFGR#33	3623170977428.00	239194
MFGR#34	3625904428803.00	239267
MFGR#35	3691097612811.00	244340
MFGR#41	3660135331275.00	242656
MFGR#42	3646157931598.00	240844
MFGR#43	3610135629307.00	238763
MFGR#44	3555692716456.00	234761
MFGR#45	3624255089214.00	238805
MFGR#51	3659978611036.00	241584
MFGR#52	3627423707394.00	239115
MFGR#53	3614595468322.00	238806
MFGR#54	3705271462087.00	244922
MFGR#55	3581521484777.00	237059
